"zzMgaj_qEeeDXGtNGARk5Q","acct:jonklancher@hypothes.is","2017-12-30T17:10:55.246721+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Both commercial and scientific voyages have been searching for a Northwest passage or open seaway between the Atlantic and Pacific oceans. For the Arctic context of the novel, see Adriana Craciun, ""Writing the Disaster: Franklin and *Frankenstein*,"" *Nineteenth-Century Literature,* 65.4 (2011): 433-80.","voyages;Northwest Passage;geography","/p[9]","/p[9]",460,552
"zob1eoUNEeeTHq8coHmoyw","acct:jonklancher@hypothes.is","2017-08-19T18:40:00.351939+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Clerval's love of languages, as opposed to the ""minutiae of science,"" will later resonate with the Creature's perception that ""language is a Godlike science."" ","language","/p[176]","/p[176]",0,148
"zgwleoUDEeeTUxdoVGeAuA","acct:jonklancher@hypothes.is","2017-10-06T17:43:55.723710+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","A key instrument for scientific experiment on gases, the first fully successful air-pump was created for Robert Boyle's experiments at the Royal Society in 1658. Victor's enthusiasm for a modern scientific instrument counterbalances his attraction to magic and pre-modern philosophy. For the wider significance of this invention, see Steven Shapin and Simon Schaffer, *Leviathan and the Air Pump* (1985).","natural philosophy","/p[91]","/p[91]",344,352
"zbg4dk9yEemjh59BgI4-fA","acct:averywiscomb@hypothes.is","2019-03-26T17:58:04.886950+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1831.html","Coincidently, Elizabeth was the name of Mary Shelley's mother. Shelley changes the character's name from Myrtella to Elizabeth in the Draft. In Greek and Roman mythology, myrtle was sacred to the goddess Venus (Aphrodite) and sybolized love.","1818;Draft;Variorum;Elizabeth","/p[103]","/p[103]",16,25
"zSGmfIsAEeiFt7ek2ZZsnA","acct:jquirk@hypothes.is","2018-07-19T03:08:39.439355+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Appears to be a reference to Lord Byron's Byron’s Childe Harold’s Pilgrimage, published between 1812 and 1818: “Above me are the Alps, / The palaces of Nature, whose vast walls / Have pinnacled in clouds their snowy scalps, / And throned Eternity in icy halls / Of cold sublimity” (lxii.590–94).","Literature;Poetry;Byron","/p[205]","/p[205]",171,195
"zCPPbOu3EeifOFOVdAmK1A","acct:averywiscomb@hypothes.is","2018-11-19T06:30:45.326085+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The Creature compares himself to Milton's Satan, of whom he has previously read.","Satan;John Milton;Paradise Lost","/p[419]","/p[419]",471,513
"yj5jbOs9EeihKOeAJewlfQ","acct:jonklancher@hypothes.is","2018-11-18T14:25:25.303336+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","italics for titles","",,,,
"ydmPJIa6EeiKKgvEmWMMuA","acct:jquirk@hypothes.is","2018-07-13T16:36:02.550922+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","Appears as ""amiable"" in the Thomas manuscript.","","/p[100]","/p[100]",1343,1353
"y_jXDl3qEeicCROLry5XwA","acct:averywiscomb@hypothes.is","2018-05-22T18:06:27.170675+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","The OED dates first use of ""scientist"" to 1834, although Mary does use word ""scientifical"" in the text: ""our family was not scientifical""","",,,,
"yV-tEl3tEeijwxOvNHDbRA","acct:jonklancher@hypothes.is","2018-05-22T18:27:30.158459+00:00","https://ebeshero.github.io/Pittsburgh_Frankenstein/Frankenstein_1818.html","probably too much here","",,,,
